# age bin between 90 and 140 Myrs ago
#     R      phi
#    kpc     deg
   7.5537    1.6833
   8.3745   15.8684
   7.2863   51.2017
   8.6639  -16.2041
   6.8650   20.3277
   5.5444  -49.3084
   8.0932   22.2822
   8.4919  -48.2082
  10.9988   -8.5585
   7.8325   53.5927
  10.6569   -4.7965
   7.6355   -4.8410
  12.6015   94.6046
   7.6691   -1.1525
   8.3058   24.3565
  12.3318   11.9467
   6.5714   -6.1172
   8.5586   67.6080
   6.9939   -2.8852
   7.5316   -1.5356
  10.3788  -16.3185
   6.7789  -29.6334
   9.9457  -33.5294
   9.8586    2.6786
  10.1145 -169.2619
   8.3211    6.3518
   6.8925  -29.0943
   7.7734   40.4448
   7.9469    4.8844
   7.1613   38.5020
   6.5982  -25.5707
   9.0083   63.2972
   7.9716  -11.9789
   6.6889    8.6933
   7.8459   13.2023
   8.4840   33.9123
  10.4689  -19.0628
   7.1659  -31.0253
  13.7394   69.8459
   7.8922   17.2213
   7.3598   20.9933
   6.0925   85.7572
   6.6842   88.7865
  10.0818   -9.5696
   6.7661  -30.1817
   8.1261   25.9644
   8.5264   58.3283
   9.5525  -22.6354
   9.0181   93.5111
   8.2749    8.0299
   8.4138   64.5597
   9.6136   19.6530
   9.7637  -24.5134
   6.8842  -26.2801
  14.3109    5.7085
   9.7664  -19.7948
  10.0468   63.8767
   6.5333  -27.5672
   8.1868   51.1271
   8.4407   63.4090
   6.9074  -19.2346
   7.6497    3.8938
   9.6365   11.9791
   9.8984   24.1616
   8.6707   23.5439
   6.5219   -5.8662
   7.2145   25.5187
   9.2858   52.6125
   8.4436  -29.0589
   8.9200  -24.3435
   6.3378   -6.2598
   7.5877  -27.4887
   6.8497  -28.7246
   7.5993    9.7083
   8.7491   34.9639
   9.8336  -37.2738
   7.8926   -6.8836
   9.7615   81.2440
   8.1442   32.3910
   8.8458    9.7152
  11.5094   79.6264
   8.0337   28.7681
  13.7351   -6.8264
  10.2665   17.6221
   6.7561    8.0893
   6.8144   21.2678
   8.9520   19.9458
   7.6632   -4.8601
   9.1654  -58.6641
   7.7120  -50.0799
   7.4842   19.8348
   7.5426    0.9732
   6.1878   -5.9922
  10.5703   79.2097
  15.0912   85.6693
   8.6127   21.9448
   6.5628   -2.7800
  10.3969   82.9342
   8.8570   40.1093
   6.5589   48.0059
   6.8223   -0.6187
   7.3906  116.5454
   6.9530   -0.8014
  14.0374  -15.7483
  10.1959   11.1350
  13.7541  130.2858
   8.9881   23.1127
   8.4201    4.7058
   8.1682   56.9495
   8.4081   28.9014
   5.7425  -14.8998
   8.9527   58.7115
   7.5507   20.6337
  17.1581   86.9968
  13.4292  104.8214
  12.5720   -1.9121
   9.0913   -1.1836
   9.0269  -12.0553
   7.4193  -42.7206
   7.0862    0.7359
   8.6504   18.9052
   8.6424  -13.8594
   9.0065  -27.1018
   6.5778  -12.4312
  11.7216   10.6800
  11.5259  -33.5885
   7.7624  -65.4221
   7.1458  -34.6516
   7.9371  -10.3019
   8.3743   58.1840
   8.9772   25.0857
   5.1978   38.3479
   4.8157  -23.9247
   6.9436   17.9065
   8.7987   -8.3388
   8.9815   -8.2731
  10.6287   94.9405
   9.1552   18.9226
   4.8556  -76.3520
   7.8698   -1.4926
   7.9041    5.5207
   4.6807   22.0197
   7.7902   -0.8526
   8.3204  -14.7045
   7.8316  -23.9973
   9.5117   56.8635
   9.2360   -8.9255
   9.0910  -48.2983
  10.7380  -17.5685
  10.9900  -35.7176
  11.0006    3.8012
  10.3086   59.0760
  10.8314   40.6990
   8.8637  -15.8742
   7.5441  -14.4856
   7.8830   35.2852
  17.2470  102.5012
   8.3075   46.3578
   8.7646   66.8464
   8.3050   31.5508
   8.5707   54.7948
   6.7947   -3.7172
  11.8220  -45.1172
  10.7186   27.4828
   8.7716   26.3011
   8.4692   40.1479
  10.5941   15.6934
   8.6078   23.9894
   8.8108   47.8514
   7.8675  -40.1320
   7.8464    4.5230
   6.6510   37.4265
   8.5167   11.8198
  10.8022  -33.9220
   8.5283  -42.4000
   8.4759  -55.6566
   8.5881   51.9111
   6.0739  111.8960
   8.4171   41.8540
   7.3134   -4.4619
   9.8427  -11.1889
  11.3142   79.8200
   9.6282   65.4844
  10.1869 -144.9671
  11.3043  -37.1074
   7.9327   15.1206
   7.8043    3.5678
   8.0386   24.5929
   7.2579   -2.9511
   8.8419  -17.3451
  11.6814  -20.8851
   6.8107   -4.7282
   8.3595   38.0109
   7.6192  -10.2223
  13.2348  123.9633
   8.7787   47.1869
   7.9813   17.4733
  13.2227   11.8098
   9.0749   18.9686
   7.5691  -45.2766
   8.2122   23.4944
  13.3971   22.2822
   8.0155   49.9488
  13.4615   47.7167
   8.0832   54.0598
   8.0575   33.1632
   8.1612   24.3614
   6.8419    6.2753
  11.4443  -36.2310
   6.8008  -28.5444
   8.7565   77.3785
   5.5060   19.8698
   7.9262   49.8448
   7.2228  -36.4061
   6.5852   21.6466
  11.5085   18.3652
   7.8120   50.8185
   8.4586   41.7605
   7.4651  -13.7781
   8.3429   35.1662
   7.8137   11.3476
   7.6965    8.6159
  10.0892   76.6510
   7.4268   -1.6556
  13.6641   28.1507
   7.9977   13.9737
   7.9798   29.7421
   9.3441  -10.4166
   7.9895   28.0702
   7.3904    1.3702
   8.2465   30.2223
  10.8050   75.6599
  15.2858   86.0682
  11.5693  119.4209
  11.9765    7.9066
  11.3279   92.1518
   7.9519    2.4901
   7.9308   11.1965
   9.8536   37.6920
   9.7339   27.1143
   8.9052  -58.2962
  10.6854  -13.3498
  11.4492   54.8980
   8.6577   22.7446
  11.4358   51.8904
  11.5206   59.8591
   8.2196   30.4221
  10.2558   29.2186
   8.2433   15.0931
   8.8562   60.1557
   8.3736   -1.7567
   6.8202   -4.7584
  10.5177  176.3758
  12.2932   -0.7779
   7.9267   16.1644
   6.1998   91.8443
   6.6798   -6.3477
   7.5007   -0.8715
   7.5830    6.7411
   6.6119   -6.0175
   9.8877  -30.0057
  11.9492  -10.4251
   7.3679   32.6503
   6.8229   -6.4147
  10.3901  -14.2744
   8.2841   -7.2259
   3.6539  139.6883
   6.9920   -0.3702
  13.4936   76.4015
   6.7325  -31.6843
  11.1109  -19.0734
  10.0746  -20.4909
   8.5608  -11.5093
   7.4245   24.5917
  11.6857  108.7328
   7.5670   23.5730
  13.6017  125.5883
   8.5410   49.8736
  10.7123  -14.9098
  11.0709  -19.6081
   7.1590   65.4814
   9.9954   45.4270
  13.7233   13.6856
   8.7294   37.4567
   9.1710  -11.8752
  10.0966   86.1314
   8.1107   17.7151
   8.1879   27.3543
  11.7132  -36.6832
  10.9867   86.6735
   9.6242   17.0960
   7.4794   -8.7668
  10.4652   32.6845
   9.1285  -19.5989
   9.3785   24.1145
  12.5313  131.0421
  12.3873   52.4138
   8.1255   26.0271
   9.0834   33.7320
   7.8827  -28.5363
   8.9750   54.6897
   8.3387  -12.5111
   7.8074  -26.8148
   9.1885  -61.2929
   9.1150   43.2741
   8.3580  -48.4731
   9.7080  107.7566
  12.5096   45.8312
  10.1249  -17.1644
   7.7101  -28.4702
   8.0602    3.0429
   8.4790   46.7419
   9.6558  -54.8218
   8.0363  -21.1324
   7.2691 -108.4761
   8.3053   27.3565
   9.8705   -8.4961
  10.4517   13.2775
  11.1523  -13.4006
   8.0964  -14.0901
   8.1222   20.1364
  10.3203   -8.3587
  10.7651   59.4386
   8.9921   35.2621
   8.5962    6.3050
   7.7667   12.9294
  10.0365  -32.6093
   7.3786   43.9905
   7.9691   12.6446
   7.6042   21.7054
   9.3754   -4.8171
  10.8796   18.6016
   6.8386   38.2736
   8.2524   -4.6451
   4.4041  156.2786
   8.7004   36.4099
  14.7683   38.9550
  10.9911   33.5727
   8.8863   39.4451
   8.5550   55.5177
   9.6752   60.8418
  10.5897  -28.6595
   9.8525    4.8113
  10.2713  -14.5852
   8.6479   46.9338
   8.0251   32.0417
   5.9432  127.1890
   7.0194  -21.7646
  13.4948   67.4027
   9.0072   55.7938
   8.5036   28.7889
  13.4432  -11.2714
  10.5430   74.6699
  14.7709   36.3152
   7.3309   -9.6376
   7.3959    0.6922
  10.4862    1.6158
  10.3059   21.0537
   7.8944   15.3873
   8.7766   29.4924
   7.9386    4.2069
